electrode_name	electrode_type	session_name	loc_x	loc_y	loc_z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2
10	EEG	TMS_V2	-76.692	-25.901	-1.346	0.695	-0.307	0.650	-0.551	0.352	0.756	-0.461	-0.884	0.075
15	EEG	TMS_V2	-69.844	-40.151	37.654	0.321	-0.837	-0.443	0.223	-0.387	0.895	-0.920	-0.386	0.062
14	EEG	TMS_V2	-49.219	-63.742	42.654	0.197	0.060	0.979	-0.810	0.572	0.128	-0.552	-0.818	0.161
31	EEG	TMS_V2	33.281	67.189	78.654	-0.682	0.711	-0.172	-0.643	-0.471	0.604	0.349	0.523	0.778
29	EEG	TMS_V2	41.718	47.224	85.381	-0.836	0.515	0.191	-0.338	-0.756	0.560	0.433	0.403	0.806
25	EEG	TMS_V2	45.468	16.286	96.987	-0.383	0.915	-0.124	-0.795	-0.258	0.548	0.470	0.309	0.827
23	EEG	TMS_V2	42.656	-7.151	103.374	-0.634	0.757	0.160	-0.690	-0.647	0.326	0.350	0.096	0.932
20	EEG	TMS_V2	37.968	-49.339	87.710	0.184	0.737	0.650	-0.904	-0.133	0.407	0.386	-0.662	0.642
32	EEG	TMS_V2	34.218	102.078	20.654	-0.853	0.436	0.286	0.218	-0.200	0.955	0.474	0.878	0.075
30	EEG	TMS_V2	42.656	84.354	53.654	-0.786	0.618	-0.028	-0.305	-0.347	0.887	0.538	0.705	0.461
30	EEG	TMS_V2	53.323	62.224	67.654	-0.486	0.872	-0.053	-0.539	-0.252	0.804	0.688	0.419	0.592
26	EEG	TMS_V2	63.281	40.661	70.435	-0.613	0.684	0.395	-0.242	-0.639	0.731	0.752	0.353	0.557
25	EEG	TMS_V2	68.906	12.536	79.376	-0.220	0.969	-0.117	-0.652	-0.057	0.756	0.725	0.242	0.644
22	EEG	TMS_V2	68.906	-13.714	83.210	-0.105	0.908	0.406	-0.645	-0.373	0.667	0.757	-0.192	0.625
19	EEG	TMS_V2	56.967	-45.589	73.654	-0.436	0.227	0.871	-0.646	-0.753	-0.127	0.627	-0.618	0.475
17	EEG	TMS_V2	35.812	-65.276	62.654	-0.082	0.255	0.964	-0.922	-0.387	0.024	0.379	-0.886	0.266
18	EEG	TMS_V2	26.718	-72.870	40.654	0.115	0.195	0.974	-0.956	-0.246	0.162	0.271	-0.949	0.158
29	EEG	TMS_V2	59.531	82.932	12.654	-0.602	0.638	0.480	0.231	-0.436	0.870	0.765	0.634	0.115
28	EEG	TMS_V2	67.946	61.286	43.654	-0.491	0.857	-0.153	-0.347	-0.032	0.937	0.799	0.514	0.313
28	EEG	TMS_V2	78.281	34.099	52.904	-0.423	0.853	0.305	-0.206	-0.418	0.885	0.883	0.312	0.352
24	EEG	TMS_V2	83.481	10.661	50.654	-0.070	0.065	0.995	0.008	-0.998	0.066	0.997	0.013	0.070
22	EEG	TMS_V2	80.156	-18.401	54.321	0.218	0.874	0.435	-0.221	-0.390	0.894	0.951	-0.290	0.108
19	EEG	TMS_V2	65.695	-43.714	56.654	0.447	0.685	0.576	-0.497	-0.345	0.796	0.744	-0.642	0.186
31	EEG	TMS_V2	74.531	58.708	23.654	-0.215	0.554	-0.805	-0.399	0.702	0.590	0.892	0.447	0.070
27	EEG	TMS_V2	82.031	29.241	27.654	-0.062	0.438	0.897	0.205	-0.874	0.441	0.977	0.211	-0.036
27	EEG	TMS_V2	80.492	26.599	-10.346	-0.034	0.843	0.536	0.088	-0.532	0.842	0.996	0.076	-0.056
26	EEG	TMS_V2	85.286	4.099	26.654	0.000	0.498	0.867	0.000	-0.867	0.498	1.000	0.000	0.000
23	EEG	TMS_V2	80.737	-24.026	28.654	0.263	0.811	0.523	-0.242	-0.469	0.850	0.934	-0.350	0.073
21	EEG	TMS_V2	73.593	-34.598	-9.346	0.956	0.190	0.223	-0.203	-0.116	0.972	0.211	-0.975	-0.072
20	EEG	TMS_V2	67.031	-44.863	34.654	0.039	0.106	0.994	-0.584	-0.804	0.108	0.811	-0.585	0.031
18	EEG	TMS_V2	45.145	-64.339	43.654	0.202	0.286	0.937	-0.818	-0.476	0.322	0.538	-0.832	0.138
FidNz	Nasion	TMS_V3 	9.492	106.286	-11.346	-0.973	0.203	0.111	0.174	0.328	0.928	0.152	0.923	-0.355
FidT9	LPA	TMS_V3 	-67.032	9.370	-23.346	0.804	-0.143	0.578	-0.584	-0.377	0.719	0.115	-0.915	-0.386
